,Price,address,Local_area,zipcode,beds,baths,sqft,url,latitude,longitude
519,429595,3015 N BROOKLYN Drive,Buckeye,85396,4.0,3.0,2659.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Buckeye/Hassayampa-Ranches/3015-N-BROOKLYN-Drive/109759162.html,33.468,-112.4787
520,750000,15011 W Highland Avenue,Goodyear,85395,4.0,3.0,3508.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Goodyear/Pebblecreek/15011-W-Highland-Avenue/109759196.html,33.479,-112.3947
521,270000,10613 W CHERRY TREE Lane,Sun City,85373,2.0,2.0,1062.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Maricopa-County/Sun-City/10613-W-CHERRY-TREE-Lane/109756843.html,33.6588,-112.3214
522,380000,13290 N 144TH Lane,Surprise,85379,3.0,2.0,1323.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Surprise/Marley-Park/13290-N-144TH-Lane/109756612.html,33.6021,-112.3736
523,404900,21380 W MONTE VISTA Road,Buckeye,85396,4.0,2.0,1795.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Buckeye/Verrado/21380-W-MONTE-VISTA-Road/109759190.html,33.468,-112.4787
524,390000,16300 N NAEGEL Drive,Surprise,85374,3.0,2.0,1585.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Surprise/West-Point/16300-N-NAEGEL-Drive/109756729.html,33.63,-112.3314
525,355000,5954 N Cazador Drive,Eloy,85131,2.0,2.0,1510.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Eloy/5954-N-Cazador-Drive/109756766.html,32.7509,-111.5833
526,679000,2886 Hillview Drive,Bullhead City,86442,3.0,3.0,2241.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Bullhead-City/2886-Hillview-Drive/109752126.html,35.106,-114.5947
527,829000,816 Chureo ,Prescott,86301,2.0,2.5,2246.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-CCD/816-Chureo-/108435675.html,34.5917,-112.4265
528,325000,7816 Moonbeam Drive,Flagstaff,86004,3.0,1.0,970.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Doney-Park/7816-Moonbeam-Drive/109773034.html,35.2257,-111.5741
529,498500,1782 Pacific Avenue,Prescott,86301,3.0,2.0,1925.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Prescott-CCD/1782-Pacific-Avenue/109774110.html,34.5917,-112.4265
530,585000,12602 W Morning Vista Drive,Peoria,85383,4.0,3.0,2763.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Peoria/Vistancia/12602-W-Morning-Vista-Drive/109759265.html,33.7169,-112.238
531,335000,247 N MONTEREY Court,Casa Grande,85194,2.0,2.0,1648.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Casa-Grande/247-N-MONTEREY-Court/109759159.html,32.8984,-111.6261
532,839000,420 Panorama Blvd,Sedona,86336,2.0,2.0,2012.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Sedona/420-Panorama-Blvd/109774959.html,34.8266,-111.7506
533,825000,5109 E Gelding Drive,Scottsdale,85254,4.0,2.0,2064.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Scottsdale/West-Cactus/5109-E-Gelding-Drive/109756972.html,33.6165,-111.9554
534,559900,3161 Trail End,Heber - Overgaard,85933,3.0,3.0,2420.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Heber-Overgaard/3161-Trail-End/109752438.html,34.4086,-110.56
535,355000,10525 W PASADENA Avenue,Glendale,85307,3.0,2.0,1297.0,https://www.point2homes.com/US/Home-For-Sale/AZ/Glendale/Glendale-Airport/10525-W-PASADENA-Avenue/109756995.html,33.5376,-112.3137
